1,834597.772,966521.159,6.048,fir 1/2
2,834647.742,966522.451,6.293,fir 1/2
3,834697.765,966523.700,6.298,fir 1/2
4,834690.375,966523.202,6.050,d.w
5,834682.426,966522.984,5.930,d.w
6,834672.486,966522.690,6.091,conc.
7,834669.626,966522.587,6.146,conc.
8,834647.105,966523.663,6.768,wf3
9,834646.804,966553.670,8.403,pvc6
10,834654.387,966551.556,8.086,bc
11,834671.942,966544.923,6.191,conc.
12,834669.034,966544.758,6.501,conc.
13,834667.297,966550.801,9.113,bc
14,834680.668,966551.308,7.593,bc
15,834696.420,966572.284,6.831,pvc6
16,834694.012,966587.449,6.912,conc.
17,834691.647,966589.749,7.007,conc.
18,834653.425,966589.825,7.841,bc
19,834645.090,966621.131,6.694,wf6
20,834690.208,966622.091,6.847,bc
21,834677.843,966621.912,6.784,bc
22,834677.376,966646.074,6.743,bc
23,834675.578,966653.489,6.289,w.m
24,834695.155,966657.091,6.314,pvc6
25,834694.697,966658.106,5.764,fir 1/2
26,834695.628,966668.401,6.437,w.p
27,834794.980,966671.031,6.096,fir 1/2
28,834844.742,966671.915,6.201,fir 1/2 cap no id
29,834695.729,966668.089,6.755,w.p
30,834644.914,966656.944,5.795,fip 5/8
31,834644.621,966655.055,6.462,clf6
32,834494.214,966653.196,6.276,fir 1/2 cap no id
